Title,Publisher,Address,Core Collection
ACADEMIC MEDICINE,LIPPINCOTT WILLIAMS & WILKINS,"TWO COMMERCE SQ, 2001 MARKET ST, PHILADELPHIA, USA, PA, 19103",Science Citation Index Expanded
ACADEMIC PATHOLOGY,ELSEVIER SCIENCE INC,"STE 800, 230 PARK AVE, NEW YORK, USA, NY, 10169",Emerging Sources Citation Index
ACADEMIC PEDIATRICS,ELSEVIER SCIENCE INC,"STE 800, 230 PARK AVE, NEW YORK, USA, NY, 10169",Science Citation Index Expanded
ACADEMIC PSYCHIATRY,SPRINGER,"ONE NEW YORK PLAZA, SUITE 4600 , NEW YORK, United States, NY, 10004",Social Sciences Citation Index
ACADEMIC RADIOLOGY,ELSEVIER SCIENCE INC,"STE 800, 230 PARK AVE, NEW YORK, USA, NY, 10169",Science Citation Index Expanded
ACADEMIE ROYALE DES SCIENCES D OUTRE-MER BULLETIN DES SEANCES,ACAD ROYAL SCI,"RUE DEFACQZ 1 BOITE 3, BRUSSELS, BELGIUM, B-1000",Zoological Record
ACADEMY OF MANAGEMENT ANNALS,ACAD MANAGEMENT,"PACE UNIV, PO BOX 3020, 235 ELM RD, BRIARCLIFF MANOR, USA, NY, 10510-8020",Social Sciences Citation Index
ACADEMY OF MANAGEMENT DISCOVERIES,ACAD MANAGEMENT,"PACE UNIV, PO BOX 3020, 235 ELM RD, BRIARCLIFF MANOR, USA, NY, 10510-8020",Social Sciences Citation Index
ACADEMY OF MANAGEMENT JOURNAL,ACAD MANAGEMENT,"PACE UNIV, PO BOX 3020, 235 ELM RD, BRIARCLIFF MANOR, USA, NY, 10510-8020",Social Sciences Citation Index
ACADEMY OF MANAGEMENT LEARNING & EDUCATION,ACAD MANAGEMENT,"PACE UNIV, PO BOX 3020, 235 ELM RD, BRIARCLIFF MANOR, USA, NY, 10510-8020",Social Sciences Citation Index
ACADEMY OF MANAGEMENT PERSPECTIVES,ACAD MANAGEMENT,"PACE UNIV, PO BOX 3020, 235 ELM RD, BRIARCLIFF MANOR, USA, NY, 10510-8020",Social Sciences Citation Index
ACADEMY OF MANAGEMENT REVIEW,ACAD MANAGEMENT,"PACE UNIV, PO BOX 3020, 235 ELM RD, BRIARCLIFF MANOR, USA, NY, 10510-8020",Social Sciences Citation Index
ACADEMY OF ROMANIAN SCIENTISTS ANNALS SERIES ON BIOLOGICAL SCIENCES,ACAD ROMANIAN SCIENTISTS,"SPLAIUL INDEPENDENTEI, NO 54, SECTOR 5, BUCURESTI , Romania, 00000",Zoological Record
ACADEMY REVIEW,ALFRED NOBEL UNIV,"SICHESLAVSKA NABEREZHNA ST, 18, DNIPRO, UKRAINE, 49000",Emerging Sources Citation Index
ACADIENSIS,UNIV NEW BRUNSWICK,"DEPT HISTORY, FREDERICTON, CANADA, NB, E3B 5A3",Arts & Humanities Citation Index
ACARI BIBLIOGRAPHIA ACAROLOGICA,STAATLICHES MUSEUM NATURKUNDE GOERLITZ,"PF 30 01 54, GOERLITZ, GERMANY, D-02806",Zoological Record
ACARINA,KMK SCIENTIFIC PRESS LTD,"MOSCOW STATE UNIV , ZOOLOGICAL MUSEUM, BOLSHAYA NIKITSKAYA STREET 6, MOSCOW, RUSSIA, 00000",Biological Abstracts | BIOSIS Previews | Zoological Record
ACARINES,CAIRO UNIV,"EGYPTIAN SOC ACAROLOGY, FAC AGRICULTURE, C/O AGRICULTURAL ZOOLOGY DEPT, GIZA, EGYPT, 12613",Zoological Record
ACAROLOGIA,ACAROLOGIA-UNIVERSITE PAUL VALERY,"SERVICES PUBLICATIONS, 17 REU ABBE DE L EPEE, MONTPELLIER, FRANCE, 34090",Science Citation Index Expanded
ACCESS-ACCESS TO SCIENCE BUSINESS INNOVATION IN THE DIGITAL ECONOMY,ACCESS PRESS PUBLISHING HOUSE,"32 Alexander Burmov, Veliko Tarnovo, Bulgaria, 5000",Emerging Sources Citation Index
ACCESS TO JUSTICE IN EASTERN EUROPE,EAST EUROPEAN LAW RESEARCH CENTER,"BANDERY STEPANA STR., 20A, KYIV, UKRAINE,",Emerging Sources Citation Index
ACCIDENT ANALYSIS AND PREVENTION,PERGAMON-ELSEVIER SCIENCE LTD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND, OX5 1GB",Social Sciences Citation Index
ACCIONES E INVESTIGACIONES SOCIALES,UNIV ZARAGOZA,"ESCUELA UNIV ESTUDIOS SOCIALES , VIOLANTE HUNDRIA, 23, ZARAGOZA, SPAIN, 50009",Emerging Sources Citation Index
ACCION PSICOLOGICA,UNIV NACL EDUCACION DISTANCIA-UNED,"FAC PSICOLOGIA , CALLE JUAN DEL ROSAL 10, MADRID, SPAIN, 28040",Emerging Sources Citation Index
ACCOUNTABILITY IN RESEARCH-ETHICS INTEGRITY AND POLICY,TAYLOR & FRANCIS INC,"530 WALNUT STREET, STE 850, PHILADELPHIA, USA, PA, 19106",Science Citation Index Expanded
