Title,Publisher,Address,Core Collection
IRISH VETERINARY JOURNAL,BMC,"CAMPUS, 4 CRINAN ST, LONDON, ENGLAND, N1 9XW",Science Citation Index Expanded
IRONMAKING & STEELMAKING,TAYLOR & FRANCIS LTD,"2-4 PARK SQUARE, MILTON PARK, ABINGDON, England, OXON, OX14 4RN",Science Citation Index Expanded
IRRIGATION AND DRAINAGE,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",Science Citation Index Expanded
IRRIGATION SCIENCE,SPRINGER,"ONE NEW YORK PLAZA, SUITE 4600 , NEW YORK, United States, NY, 10004",Science Citation Index Expanded
ISA TRANSACTIONS,ELSEVIER SCIENCE INC,"STE 800, 230 PARK AVE, NEW YORK, USA, NY, 10169",Science Citation Index Expanded
ISCIENCE,CELL PRESS,"50 HAMPSHIRE ST, FLOOR 5, CAMBRIDGE, USA, MA, 02139",Science Citation Index Expanded
ISECURE-ISC INTERNATIONAL JOURNAL OF INFORMATION SECURITY,IRANIAN SOC CRYPTOLOGY,"DEPT COMPUTER ENGINEERING, SHARIF UNIV TECHNOLOGY, NO 9, SADEGHI ST, AZADI AVE, TEHRAN, IRAN, 00000",Emerging Sources Citation Index
ISEGORIA,CONSEJO SUPERIOR INVESTIGACIONES CIENTIFICAS-CSIC,"Editorial CSIC, C/VITRUVIO 8, MADRID, Spain, 28006",Arts & Humanities Citation Index
ISHINOMAKI SENSHU DAIGAKU KENKYU KIYO,ISHINOMAKI SENSHU UNIV,"ISHINOMAKI SENSHU UNIV, MIYAGI, JAPAN, 986-8580",Zoological Record
ISI BILIMI VE TEKNIGI DERGISI-JOURNAL OF THERMAL SCIENCE AND TECHNOLOGY,TURKISH SOC THERMAL SCIENCES TECHNOLOGY,"TIBTD MAKINA MUHENDISLIGI BOLUMU ODTU, ANKARA, TURKEY, 06531",Science Citation Index Expanded
ISIJ INTERNATIONAL,IRON STEEL INST JAPAN KEIDANREN KAIKAN,"TEKKO KAIKAN-5F, 3-2-10, NIHONBASHI-KAYABACHO, TOKYO, JAPAN, CHUO-KU, 103-0025",Science Citation Index Expanded
ISIS,UNIV CHICAGO PRESS,"1427 E 60TH ST, CHICAGO, USA, IL, 60637-2954",Science Citation Index Expanded | Social Sciences Citation Index | Arts & Humanities Citation Index
ISJ-INVERTEBRATE SURVIVAL JOURNAL,INVERTEBRATE SURVIVAL JOURNAL,"C/O DAVIDE MALAGOLI, DEPT OF LIFE SCIENCES, UNIV MODENA & REGGIO EMILIA, VIA CAMPI, 213-D, MODENA, Italy, 41125",Science Citation Index Expanded
ISLAM AND CHRISTIAN-MUSLIM RELATIONS,ROUTLEDGE JOURNALS,"TAYLOR & FRANCIS LTD , 2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN",Arts & Humanities Citation Index
ISLAMIC AFRICA,BRILL,"PLANTIJNSTRAAT 2, P O BOX 9000, LEIDEN, NETHERLANDS, 2300 PA",Arts & Humanities Citation Index
ISLAMIC LAW AND SOCIETY,BRILL,"PLANTIJNSTRAAT 2, P O BOX 9000, LEIDEN, NETHERLANDS, 2300 PA",Arts & Humanities Citation Index
ISLAMIYYAT-THE INTERNATIONAL JOURNAL OF ISLAMIC STUDIES,PENERBIT UNIV KEBANGSAAN MALAYSIA,"PENERBIT UNIV KEBANGSAAN MALAYSIA, FAC SOCIAL SCIENCES & HUMANITIES, BANGI, Malaysia, SELANGOR, 43600",Emerging Sources Citation Index
ISLAM-ZEITSCHRIFT FUR GESCHICHTE UND KULTUR DES ISLAMISCHEN ORIENTS,WALTER DE GRUYTER GMBH,"GENTHINER STRASSE 13, BERLIN, GERMANY, D-10785",Arts & Humanities Citation Index
ISLAND ARC,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",Science Citation Index Expanded
ISLAND STUDIES JOURNAL,ISLAND STUDIES JOURNAL,"c/o Adam Grydehøj, Lillegrund 39, Copenhagen, Denmark, 2300 S",Social Sciences Citation Index
ISLE-INTERDISCIPLINARY STUDIES IN LITERATURE AND ENVIRONMENT,OXFORD UNIV PRESS INC,"JOURNALS DEPT, 2001 EVANS RD, CARY, USA, NC, 27513",Arts & Humanities Citation Index
ISLE OF WIGHT BIRD REPORT,ISLE WIGHT NATURAL HISTORY ARCHAEOLOGICAL SOC,"SALISBURY GARDENS, DUDLEY RD, VENTNOR, ENGLAND, ISLE OF WIGHT, PO38 1EJ",Zoological Record
ISLETS,TAYLOR & FRANCIS INC,"530 WALNUT STREET, STE 850, PHILADELPHIA, USA, PA, 19106",Science Citation Index Expanded
ISME JOURNAL,SPRINGERNATURE,"CAMPUS, 4 CRINAN ST, LONDON, ENGLAND, N1 9XW",Science Citation Index Expanded
ISOKINETICS AND EXERCISE SCIENCE,IOS PRESS,"NIEUWE HEMWEG 6B, AMSTERDAM, NETHERLANDS, 1013 BG",Science Citation Index Expanded
ISOTOPES IN ENVIRONMENTAL AND HEALTH STUDIES,TAYLOR & FRANCIS LTD,"2-4 PARK SQUARE, MILTON PARK, ABINGDON, England, OXON, OX14 4RN",Science Citation Index Expanded
ISPRS INTERNATIONAL JOURNAL OF GEO-INFORMATION,MDPI,"ST ALBAN-ANLAGE 66, BASEL, SWITZERLAND, CH-4052",Science Citation Index Expanded
ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING,ELSEVIER,"RADARWEG 29, AMSTERDAM, Netherlands, 1043 NX",Science Citation Index Expanded
ISRAEL AFFAIRS,ROUTLEDGE JOURNALS,"TAYLOR & FRANCIS LTD , 2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN",Social Sciences Citation Index
ISRAEL EXPLORATION JOURNAL,ISRAEL EXPLOR SOC,"POB 7041, JERUSALEM, ISRAEL, 91070",Arts & Humanities Citation Index
ISRAELI JOURNAL OF AQUACULTURE-BAMIDGEH,AQUACULTUREHUB INC,"9204 Brown Ln Ste D, Austin, United States, Texas, 78754-4050",Science Citation Index Expanded
ISRAEL JOURNAL OF CHEMISTRY,WILEY-V C H VERLAG GMBH,"POSTFACH 101161, WEINHEIM, GERMANY, 69451",Science Citation Index Expanded
ISRAEL JOURNAL OF ECOLOGY & EVOLUTION,BRILL,"PLANTIJNSTRAAT 2, P O BOX 9000, LEIDEN, NETHERLANDS, 2300 PA",Science Citation Index Expanded
ISRAEL JOURNAL OF ENTOMOLOGY,ENTOMOLOGICAL SOC ISRAEL,"P O BOX 6, BET-DAGAN, ISRAEL, 00000",Biological Abstracts | BIOSIS Previews | Zoological Record
ISRAEL JOURNAL OF HEALTH POLICY RESEARCH,BMC,"CAMPUS, 4 CRINAN ST, LONDON, ENGLAND, N1 9XW",Social Sciences Citation Index
ISRAEL JOURNAL OF MATHEMATICS,HEBREW UNIV MAGNES PRESS,"PO BOX 39099, JERUSALEM, ISRAEL, 91390",Science Citation Index Expanded
ISRAEL JOURNAL OF PLANT SCIENCES,BRILL,"PLANTIJNSTRAAT 2, P O BOX 9000, LEIDEN, NETHERLANDS, 2300 PA",Science Citation Index Expanded
ISRAEL JOURNAL OF PSYCHIATRY AND RELATED SCIENCES,MEDIAFARM GROUP,"23 ZAMENHOFF ST, TEL-AVIV, ISRAEL, 64373",Science Citation Index Expanded | Social Sciences Citation Index
ISRAEL JOURNAL OF VETERINARY MEDICINE,ISRAEL VETERINARY MEDICAL ASSOC,"POB 22, RAANANA, ISRAEL, 43100",Science Citation Index Expanded
ISRAEL LAW REVIEW,CAMBRIDGE UNIV PRESS,"32 AVENUE OF THE AMERICAS, NEW YORK, USA, NY, 10013-2473",Emerging Sources Citation Index
ISRAEL MEDICAL ASSOCIATION JOURNAL,ISRAEL MEDICAL ASSOC JOURNAL,"2 TWIN TOWERS, 11TH FL, 35 JABOTINSKY ST, PO BOX 3604, RAMAT GAN, ISRAEL, 52136",Science Citation Index Expanded
ISRAEL STUDIES,INDIANA UNIV PRESS,"601 N MORTON STREET, BLOOMINGTON, USA, IN, 47404-3797",Emerging Sources Citation Index
ISRAEL STUDIES REVIEW,BERGHAHN JOURNALS,"20 JAY ST, SUITE 512, BROOKLYN, USA, NY, 11201",Emerging Sources Citation Index
ISRA INTERNATIONAL JOURNAL OF ISLAMIC FINANCE,INT SHARIAH RESEARCH ACAD ISLAMIC FINANCE RES MANAGEMENT CTR - ISRA RMC,"LORONG UNIV A, KUALA LUMPUR, MALAYSIA, 59100",Emerging Sources Citation Index
ISSLEDOVANIYA FAUNY MOREI,ZOOLOGICAL INST,"ST PETERSBURG UNIV, UNIVERSITETSKAYA NAB., 1, C/O DR. ILYA GAVRILOV, ST PETERSBURG, RUSSIA, 199034",Zoological Record
ISSLEDOVANIYA VODNYKH BIOLOGICHESKII RESURSOV KAMCHATKII I SEVERO-ZAPADNOI CHASTI TIKHOGO OKEANA,KAMCHATNIRO,"KAMCHATNIRO, PETROPAVLOVSK-KAMCHATKA, RUSSIA, 683600",Zoological Record
ISSUES IN ACCOUNTING EDUCATION,AMER ACCOUNTING ASSOC,"9009 Town Center Parkway, Lakewood Ranch, United States, FL, 34202",Emerging Sources Citation Index
ISSUES IN EDUCATIONAL RESEARCH,WESTERN AUSTRALIAN INST EDUCATIONAL RESEARCH INC,"C/O BRAD GOBBY, SCH EDUC, ROCKINGHAM CAMPUS, MURDOCH UNIV, ROCKINGHAM, AUSTRALIA, W A 6168",Emerging Sources Citation Index
ISSUES IN LAW & MEDICINE,NATL LEGAL CENTER MEDICALLY DEPENDENT & DISABLED INC,"50 S MERIDIAN STE 200, INDIANAPOLIS, USA, IN, 46204-3537",Social Sciences Citation Index
ISSUES IN MENTAL HEALTH NURSING,TAYLOR & FRANCIS INC,"530 WALNUT STREET, STE 850, PHILADELPHIA, USA, PA, 19106",Science Citation Index Expanded | Social Sciences Citation Index
ISSUES IN SCIENCE AND TECHNOLOGY,NATL ACAD SCIENCES,"2101 CONSTITUTION AVE NW, WASHINGTON, USA, DC, 20418",Science Citation Index Expanded | Social Sciences Citation Index
ISSUES & STUDIES,WORLD SCIENTIFIC PUBL CO PTE LTD,"5 TOH TUCK LINK, SINGAPORE, SINGAPORE, 596224",Emerging Sources Citation Index
ISTANBUL BUSINESS RESEARCH,ISTANBUL UNIV,"SCH BUSINESS , ISTANBUL UNIV, SCH BUSINESS, ISTANBUL, TURKEY, 34322",Emerging Sources Citation Index
ISTANBUL HUKUK MECMUASI,ISTANBUL UNIV,"FAC LAW , ISTANBUL UNIV, FAC LAW, ISTANBUL, TURKEY, 34116",Emerging Sources Citation Index
ISTANBUL IKTISAT DERGISI-ISTANBUL JOURNAL OF ECONOMICS,ISTANBUL UNIV,"Rektorlugu, Beyazit, Fatih, ISTANBUL, Turkey, 34452",Emerging Sources Citation Index
ISTANBUL JOURNAL OF PHARMACY,ISTANBUL UNIV,"FAC PHARMACY , DEPT PHARMACEUTICAL TECHNOLOGY, ISTANBUL, TURKEY, 34116",Emerging Sources Citation Index
ISTANBUL MEDICAL JOURNAL,GALENOS PUBL HOUSE,"Kacamak Sokak 21/1, ISTANBUL, Turkey, Findikzade, 34093",Emerging Sources Citation Index
ISTANBUL UNIVERSITESI SOSYOLOJI DERGISI-ISTANBUL UNIVERSITY JOURNAL OF SOCIOLOGY,ISTANBUL UNIV,"FAC LETTERS, DEPT SOCIOLOGY , ISTANBUL UNIV, FAC LETTERS, DEPT SOCIOLOGY, ISTANBUL, TURKEY, 34116",Emerging Sources Citation Index
ISTORIJA,LIETUVOS EDUKOLOGIJOS UNIV LEIDYKLA,"T SEVCENKOS G 31, VILN, LITHUANIA, 2009",Emerging Sources Citation Index
ISTORIYA-ELEKTRONNYI NAUCHNO-OBRAZOVATELNYI ZHURNAL,STATE ACAD UNIV HUMANITIES,"LENINSKII PR-KT 32A, MOSCOW, RUSSIA, 119334",Emerging Sources Citation Index
ISTORIYA-HISTORY,NATSIONALNO IZDATELSTVO AZ BUKI,"BUL TSARIGRADSKO SHOSE, 125, BL 5, SOFIA, BULGARIA, 1113",Emerging Sources Citation Index
ISURUS,ASOC PALEONTOLOGICA ALCOYANA ISURUS,"C/O PINTO CABRERA, 61-BAJO, ALICANTE, SPAIN, ALCOY, 03803",Zoological Record
ITALIAN BOTANIST,PENSOFT PUBLISHERS,"12 PROF GEORGI ZLATARSKI ST, SOFIA, BULGARIA, 1700",Biological Abstracts | BIOSIS Previews
ITALIAN CULTURE,ROUTLEDGE JOURNALS,"TAYLOR & FRANCIS LTD , 2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN",Emerging Sources Citation Index
ITALIAN ECONOMIC JOURNAL,SPRINGER HEIDELBERG,"TIERGARTENSTRASSE 17, HEIDELBERG, GERMANY, D-69121",Emerging Sources Citation Index
ITALIAN GEOTECHNICAL JOURNAL-RIVISTA ITALIANA DI GEOTECNICA,PATRON EDITORE S R L,"VIA BADINI 12, QUARTO INFERIORE, BOLOGNA, ITALY, 00000",Emerging Sources Citation Index
ITALIANIST,ROUTLEDGE JOURNALS,"TAYLOR & FRANCIS LTD , 2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN",Emerging Sources Citation Index
ITALIANISTICA-RIVISTA DI LETTERATURA ITALIANA,FABRIZIO SERRA EDITORE,"VIA SANTA BIBBIANA 28, PISA, Italy, I-56127",Arts & Humanities Citation Index
ITALIAN JOURNAL OF AGROMETEOROLOGY-RIVISTA ITALIANA DI AGROMETEOROLOGIA,FIRENZE UNIV PRESS,"JOURNALS DIVISION, BORGO ALBIZI, 28, FIRENZE, ITALY, 50122",Science Citation Index Expanded
ITALIAN JOURNAL OF AGRONOMY,PAGEPRESS PUBL,"MEDITGROUP, VIA G BELLI, 4, PAVIA, Italy, 27100",Science Citation Index Expanded
ITALIAN JOURNAL OF ANATOMY AND EMBRYOLOGY,MOZZON GIUNTINA S P A IL SEDICESIMO,"VIA MANNELLI 29R, FLORENCE, ITALY, 00000",Biological Abstracts | BIOSIS Previews
ITALIAN JOURNAL OF ANIMAL SCIENCE,TAYLOR & FRANCIS LTD,"2-4 PARK SQUARE, MILTON PARK, ABINGDON, England, OXON, OX14 4RN",Science Citation Index Expanded
ITALIAN JOURNAL OF DERMATOLOGY AND VENEREOLOGY,EDIZIONI MINERVA MEDICA,"CORSO BRAMANTE 83-85 INT JOURNALS DEPT., TURIN, ITALY, 10126",Science Citation Index Expanded
ITALIAN JOURNAL OF ENGINEERING GEOLOGY AND ENVIRONMENT,UNIV STUDI ROMA LA SAPIENZA,"PIAZZALE ALDO MORO, 5, ROME, ITALY, I-00185",Emerging Sources Citation Index
ITALIAN JOURNAL OF FOOD SAFETY,PAGEPRESS PUBL,"MEDITGROUP, VIA G BELLI, 4, PAVIA, Italy, 27100",Emerging Sources Citation Index
ITALIAN JOURNAL OF FOOD SCIENCE,CODON PUBLICATIONS,"LEVEL 9, 167 EAGLE ST, BRISBANE, Australia, QLD, 4000",Science Citation Index Expanded
ITALIAN JOURNAL OF GEOSCIENCES,SOC GEOLOGICA ITALIANA,"UNIV DEGLI STUDI LA SAPIENZA, DIPART SCI DELLA TERRA, PIAZZALE ALDO MORO 5, ROME, ITALY, I-00185",Science Citation Index Expanded
ITALIAN JOURNAL OF LINGUISTICS,PACINI EDITORE,"VIA DELLA GHERARDESCA-ZONA INDUSTRIALE OSPEDALETTO, PISA, ITALY, 56121",Emerging Sources Citation Index
ITALIAN JOURNAL OF MEDICINE,PAGEPRESS PUBL,"MEDITGROUP, VIA G BELLI, 4, PAVIA, Italy, 27100",Emerging Sources Citation Index
ITALIAN JOURNAL OF MYCOLOGY,UNIV STUDI BOLOGNA,"DIPT SCIENZE AGRARIE , VIALE G FANIN 44, BOLOGNA, ITALY, 40127",Biological Abstracts | BIOSIS Previews
ITALIAN JOURNAL OF PEDIATRICS,BMC,"CAMPUS, 4 CRINAN ST, LONDON, ENGLAND, N1 9XW",Science Citation Index Expanded
ITALIAN JOURNAL OF PLANNING PRACTICE,ITALIAN JOURNAL PLANNING PRACTICE,"VIA FLAMINIA 70, ROME, ITALY, 00196",Emerging Sources Citation Index
ITALIAN JOURNAL OF PURE AND APPLIED MATHEMATICS,FORUM EDITRICE UNIV UDINESE,"VIA LARGA 38, UDINE, ITALY, UD 33100",Emerging Sources Citation Index
ITALIAN JOURNAL OF VASCULAR AND ENDOVASCULAR SURGERY,EDIZIONI MINERVA MEDICA,"CORSO BRAMANTE 83-85 INT JOURNALS DEPT., TURIN, ITALY, 10126",Emerging Sources Citation Index
ITALIANO LINGUADUE,MILANO UNIVERSITY PRESS,"VIA FESTA DEL PERDONO 7, MILAN, Italy, 20122",Emerging Sources Citation Index
ITALIAN POLITICAL SCIENCE REVIEW-RIVISTA ITALIANA DI SCIENZA POLITICA,CAMBRIDGE UNIV PRESS,"32 AVENUE OF THE AMERICAS, NEW YORK, USA, NY, 10013-2473",Emerging Sources Citation Index
ITALIAN STUDIES,ROUTLEDGE JOURNALS,"TAYLOR & FRANCIS LTD , 2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN",Arts & Humanities Citation Index
ITALICA BELGRADENSIA,UNIV BELGRADE,"FAC PHILOLOGY , Studentski trg 3, Belgrade, Serbia, 11000",Emerging Sources Citation Index
I TATTI STUDIES,UNIV CHICAGO PRESS,"1427 E 60TH ST, CHICAGO, USA, IL, 60637-2954",Emerging Sources Citation Index
ITEA-INFORMACION TECNICA ECONOMICA AGRARIA,ASOCIACION INTERPROFESIONAL DESARROLLO AGARIO,"AVDA MONTANANA 930, APARTADO 727, ZARAGOZA, SPAIN, 50080",Science Citation Index Expanded
ITE JOURNAL-INSTITUTE OF TRANSPORTATION ENGINEERS,INST TRANSPORTATION ENGINEERS,"1627 EYE STREET, NW, STE 600, WASHINGTON, USA, DC, 20006",Science Citation Index Expanded
ITE TRANSACTIONS ON MEDIA TECHNOLOGY AND APPLICATIONS,INST IMAGE INFORMATION & TELEVISION ENGINEERS,"3-5-8 SHIBAKOEN, MINATO-KU, KIKAI SHINKO KAIKAN BLDG 403, TOKYO, JAPAN, 105-0011",Emerging Sources Citation Index
ITINERARIA,SISMEL EDIZIONI GALLUZZO,"CASELLA POSTALE 90, TAVARNUZZE, Italy, 50023",Emerging Sources Citation Index
ITINERARIO-INTERNATIONAL JOURNAL ON THE HISTORY OF EUROPEAN EXPANSION AND GLOBAL INTERACTION,CAMBRIDGE UNIV PRESS,"EDINBURGH BLDG, SHAFTESBURY RD, CAMBRIDGE, ENGLAND, CB2 8RU",Social Sciences Citation Index | Arts & Humanities Citation Index
ITINERARIOS-REVISTA DE LITERATURA,UNIV ESTADUAL PAULISTA-UNESP,"FAC CIENCIAS LETRAS, CAMPUS DE ARARAQUARA, DEPT LETRAS MODERNAS, ARARAQUARA, BRAZIL, SP, 14800-901",Emerging Sources Citation Index
IT-INFORMATION TECHNOLOGY,WALTER DE GRUYTER GMBH,"GENTHINER STRASSE 13, BERLIN, GERMANY, D-10785",Emerging Sources Citation Index
ITL-INTERNATIONAL JOURNAL OF APPLIED LINGUISTICS,JOHN BENJAMINS PUBLISHING CO,"PO BOX 36224, AMSTERDAM, NETHERLANDS, 1020 ME",Emerging Sources Citation Index
IT PROFESSIONAL,IEEE COMPUTER SOC,"10662 LOS VAQUEROS CIRCLE, PO BOX 3014, LOS ALAMITOS, USA, CA, 90720-1314",Science Citation Index Expanded
ITTIOPATOLOGIA,SOC ITALIANA PATOLOGIA ITTICA-SIPI,"C/O LAB ITTIOPATOLOGIA & ACQUACOLTURA, VIA BOLOGNAL 148, TORINO, ITALY, 10154",Zoological Record
IUBMB LIFE,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",Science Citation Index Expanded
IUCN OTTER SPECIALIST GROUP BULLETIN,INT UNION CONSERVATION NATURE NATURAL RESOURCES-IUCN-OTTER SPE,"C/O ARNO GUTLEB, EDITOR, INST MEDICAL CHEMISTRY, UNIV OF VET MED, VETERINAERPLATZ 1, VIENNA, AUSTRIA, A-1210",Zoological Record
IUCRJ,INT UNION CRYSTALLOGRAPHY,"2 ABBEY SQ, CHESTER, ENGLAND, CH1 2HU",Science Citation Index Expanded
IUS CANONICUM,UNIV NAVARRA,"SERVICIO PUBLICACIONES , CAMPUS UNIV, CARRETERA DEL SADAR S-N, APARTADO 177, PAMPLONA, SPAIN, 31080",Emerging Sources Citation Index
IUS HUMANI-REVISTA DE DERECHO,UNIV HEMISFERIOS,"PASEO UNIV 300, QUITO, ECUADOR, 00000",Emerging Sources Citation Index
IZA JOURNAL OF LABOR POLICY,SCIENDO,"BOGUMILA ZUGA 32A, WARSAW, Poland, MAZOVIA, 01-811",Emerging Sources Citation Index
IZQUIERDAS,ARIADNA EDICIONES & SAINT PETERSBURG STATE UNIV,"ROMAN DIAZ 89, PROVIDENCIA, SANTIAGO, CHILE, 7500618",Emerging Sources Citation Index
IZVESTIYA ALTAISKOGO GOSUDARSTVENNOGO UNIVERSITETA,IZDVO ALTAIJSKOGO GOSUDARSTVENNOGO UNIV,"UNIVERSITY, BARNAUL, RUSSIA, 00000",Zoological Record
IZVESTIYA ATMOSPHERIC AND OCEANIC PHYSICS,MAIK NAUKA/INTERPERIODICA/SPRINGER,"233 SPRING ST, NEW YORK, USA, NY, 10013-1578",Science Citation Index Expanded
IZVESTIYA INSTITUTA MATEMATIKI I INFORMATIKI-UDMURTSKOGO GOSUDARSTVENNOGO UNIVERSITETA,UDMURT STATE UNIV,"UL UNIVERSITETSKAYA, 1, IZHEVSK, RUSSIA, 426034",Emerging Sources Citation Index
IZVESTIYA KHARKOVSKOGO ENTOMOLOGICHESKOGO OBSHCHESTVA,IZVESTIYA KHARKOVSKOGO ENTOMOLOGICHESKOGO OBSHCHESTVA,"KHARKOV ENTOMOLOGICAL SOCIETY, KHARKOV, UKRAINE, 00000",Zoological Record
IZVESTIYA MATHEMATICS,STEKLOV MATHEMATICAL INST,"RUSSIAN ACAD SCIENCES , 8 Gubkina St, Moscow, Russia, 119991",Science Citation Index Expanded
IZVESTIYA NATSIONALNOI AKADEMII NAUK RESPUBLIKI KAZAKHSTAN SERIYA BIOLOGICHESKAYA I MEDITSINSKAYA,NATSIONALNOI AKAD NAUK RESPUBLIKI KAZAKSTAN,"-, ALMATY, Kazakhstan, 050010",Zoological Record
IZVESTIYA OF SARATOV UNIVERSITY MATHEMATICS MECHANICS INFORMATICS,SARATOV STATE UNIV,"UL ASTRAKHANSKAYA, 83, SARATOV, RUSSIA, 410012",Emerging Sources Citation Index
IZVESTIYA-PHYSICS OF THE SOLID EARTH,MAIK NAUKA/INTERPERIODICA/SPRINGER,"233 SPRING ST, NEW YORK, USA, NY, 10013-1578",Science Citation Index Expanded
IZVESTIYA SAMARSKOGO NAUCHNOGO CENTRA ROSSISKAYA AKADEMII NAUK,ROSSIISKAYA AKAD NAUK,"SAVELEVSKII PER, 13 OCTOZHENKA, MOSCOW, RUSSIA, 119034",Zoological Record
IZVESTIYA SARATOVSKOGO UNIVERSITETA-SERIYA KHIMIYA BIOLOGIYA EKOLOGIYA,SARATOV N G CHEMYSHEVSKY STATE UNIV,"ASTRAKHANSKAYA UL 83, SARATOV, RUSSIA, 410012",Zoological Record
IZVESTIYA TIMIRYAZEVSKOI SELSKOKHOZYAISTVENNOI AKADEMII,IZDATEL'STVO MSKHA-PUBL HOUSE MOSCOW ACAD AGRICULTURE,"IZDATEL'STVO MSKHA (PUBL HOUSE MOSCOW ACAD AGRICULTURE), MOSCOW, RUSSIA, 127994",Biological Abstracts | BIOSIS Previews
IZVESTIYA URALSKOGO FEDERALNOGO UNIVERSITETA-SERIYA 2-GUMANITARNYE NAUKI,URAL FEDERAL UNIV,"PROSPEKT LENINA 51, EKATERINBURG, RUSSIA, 620083",Emerging Sources Citation Index
IZVESTIYA VUZOV-PRIKLADNAYA KHIMIYA I BIOTEKHNOLOGIYA,IRKUTSK NATL RESEARCH TECHNICAL UNIV,"UL LERMONTOVA 83, IRKUTSK, RUSSIA, 00000",Emerging Sources Citation Index
IZVESTIYA VYSSHIKH UCHEBNYKH ZAVEDENII KHIMIYA I KHIMICHESKAYA TEKHNOLOGIYA,IVANOVSKOGO KHIMIKO-TEKHNOLOGI TSHESKOGO INST,"PR-KT F ENGELSA 7, IVANOVO, RUSSIA, 153460",Emerging Sources Citation Index
IZVESTIYA VYSSHIKH UCHEBNYKH ZAVEDENII SEVERO-KAVKAZSKII REGION ESTESTVENNYE NAUKI,IZVESTIYA VYSSHIKH UCHEBNYKH ZAVEDENII SEVERO-KAVKAZSKII REGION,"ROSTOVSKII GOSUNIVERSITET, UL. BOLSHAYA SADOVAYA, 105, ROSTOV-NA-DONU, RUSSIA,",Zoological Record
IZVESTIYA VYSSHIKH UCHEBNYKH ZAVEDENIY-PRIKLADNAYA NELINEYNAYA DINAMIKA,SARATOV STATE UNIV,"UL ASTRAKHANSKAYA, 83, SARATOV, RUSSIA, 410012",Emerging Sources Citation Index
J19-THE JOURNAL OF NINETEENTH-CENTURY AMERICANISTS,JOHNS HOPKINS UNIV PRESS,"JOURNALS PUBLISHING DIVISION, 2715 NORTH CHARLES ST, BALTIMORE, USA, MD, 21218-4363",Emerging Sources Citation Index
JAAPA-JOURNAL OF THE AMERICAN ACADEMY OF PHYSICIAN ASSISTANTS,LIPPINCOTT WILLIAMS & WILKINS,"TWO COMMERCE SQ, 2001 MARKET ST, PHILADELPHIA, USA, PA, 19103",Science Citation Index Expanded
JAC-ANTIMICROBIAL RESISTANCE,OXFORD UNIV PRESS,"GREAT CLARENDON ST, OXFORD, ENGLAND, OX2 6DP",Emerging Sources Citation Index
JACC-BASIC TO TRANSLATIONAL SCIENCE,ELSEVIER SCIENCE INC,"STE 800, 230 PARK AVE, NEW YORK, USA, NY, 10169",Science Citation Index Expanded
JACC: CARDIOONCOLOGY,ELSEVIER,"RADARWEG 29, AMSTERDAM, Netherlands, 1043 NX",Science Citation Index Expanded
JACC-CARDIOVASCULAR IMAGING,ELSEVIER SCIENCE INC,"STE 800, 230 PARK AVE, NEW YORK, USA, NY, 10169",Science Citation Index Expanded
JACC-CARDIOVASCULAR INTERVENTIONS,ELSEVIER SCIENCE INC,"STE 800, 230 PARK AVE, NEW YORK, USA, NY, 10169",Science Citation Index Expanded
JACC-CLINICAL ELECTROPHYSIOLOGY,ELSEVIER,"RADARWEG 29, AMSTERDAM, Netherlands, 1043 NX",Science Citation Index Expanded
JACC-HEART FAILURE,ELSEVIER SCI LTD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND, OXON, OX5 1GB",Science Citation Index Expanded
JA CLINICAL REPORTS,SPRINGER,"ONE NEW YORK PLAZA, SUITE 4600 , NEW YORK, United States, NY, 10004",Emerging Sources Citation Index
JACS AU,AMER CHEMICAL SOC,"1155 16TH ST, NW, WASHINGTON, USA, DC, 20036",Emerging Sources Citation Index
JAEN JOURNAL ON APPROXIMATION,UNIV JAEN,"ESCUELA UNIV MAGISTERIO SAGRADA FAMILIA , AVE CRISTO REY, 25, JEAN, SPAIN, 23400",Emerging Sources Citation Index
JAHRBUCH DER BERLINER MUSEEN,GEBR MANN VERLAG,"LINDENSTRASSE 76 POSTFACH 110303, BERLIN 61, GERMANY, W-1000",Arts & Humanities Citation Index
JAHRBUCH DER GEOLOGISCHEN BUNDESANSTALT,GEOLOGISCHE BUNDESANSTALT,"RASUMOFSKYGASSE 23, VIENNA, AUSTRIA, A-1031",Zoological Record
JAHRBUCH DER OESTERREICHISCHEN BYZANTINISTIK,OSTERREICHISCHE AKADEMIE WISSENSCHAFTEN,"DR.-IGNAZ-SEIPEL-PLATZ 2, VIENNA, Austria, A-1010",Emerging Sources Citation Index
